,idDataset,nombreConjuntoDatos,fechaPublicacion,fechaActualizacion,inicioDato,finDato,fechaDescarga,urlConexionAPI,urlConjuntoDatos,tipoPublicacion
283,F99E13,Listado de Subestaciones del STN y el STR,2024-01-17T07:10:39.91,2026-07-01T07:16:34.003,2022-01-07T00:00:00,2026-06-30T00:00:00,2024-11-11T11:45:10.173,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=F99E13,https://www.simem.co/datadetail/f99e13de-7e81-4634-baa3-b7b394881831,Público
284,9a387a,Porcentaje estimado de cobertura con contratos de convocatorias del SICEP para el mercado regulado,2023-09-29T10:21:07.233,2026-06-06T15:20:16.897,2023-11-01T00:00:00,2031-05-01T00:00:00,2025-04-29T14:23:05.493,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=9a387a,https://www.simem.co/datadetail/9a387a9f-1793-42cf-9700-ba1c2c77c4e3,Público
285,caeff0,Informe trimestral de planeamiento operativo eléctrico de mediano plazo (IPOEMP) --Deprecated--,2023-09-30T13:01:42.7,2026-04-10T19:00:14.6,2022-01-01T00:00:00,2025-10-01T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=caeff0,https://www.simem.co/datadetail/caeff05c-a2f3-48ac-8652-ba5f76a926ec,Público
286,34FFDA,Aportes Hídricos en Porcentaje,2023-09-29T12:21:44.29,2026-07-01T08:34:14.087,2013-01-01T00:00:00,2026-06-30T00:00:00,2025-03-30T09:17:20.623,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=34FFDA,https://www.simem.co/datadetail/34ffda33-2a8d-422d-925a-ba75088d434d,Público
287,90b78a,Porcentaje Estimado de cobertura con contratos entre agentes,2023-09-29T09:41:31.13,2026-06-06T15:20:34.8,2023-11-01T00:00:00,2031-05-01T00:00:00,2025-05-02T16:33:54.823,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=90b78a,https://www.simem.co/datadetail/90b78a72-e014-4d43-b281-baba6879622b,Público
288,fe1a54,Estudio Esquema de Desconexión Automático de Carga EDAC,2023-09-30T22:54:24.613,2026-02-16T17:14:24.31,2022-01-01T00:00:00,2026-01-01T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=fe1a54,https://www.simem.co/datadetail/fe1a5468-1833-42b3-a440-bb1cd5299784,Público
289,d760bb,"Precios y estadísticas de los contratos entre agentes, por año de suscripción y por comercializador",2023-09-29T16:16:08.363,2026-06-24T07:36:50.39,2013-01-01T00:00:00,2026-05-01T00:00:00,2025-02-15T17:02:56.143,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=d760bb,https://www.simem.co/datadetail/d760bba8-6cff-4e6c-bc5e-bb342e7abd59,Público
290,8b732d,Duración promedio de los contratos entre agentes,2023-09-30T07:32:56.903,2026-06-06T15:17:40.187,2023-09-01T00:00:00,2031-05-01T00:00:00,2025-02-24T09:16:33.44,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=8b732d,https://www.simem.co/datadetail/8b732de2-eb53-4bc5-abfc-bc976ca4537b,Público
291,aecac4,Costo Equivalente Real de Energía (CERE),2025-09-10T17:14:08.15,2026-06-24T06:32:49.013,2021-01-01T00:00:00,2026-05-01T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=aecac4,https://www.simem.co/datadetail/aecac40a-6ec9-4dd6-a794-bccb7d950035,Público
292,A88E47,Ventas en bolsa TIE en moneda,2024-11-07T10:33:56.017,2026-07-01T04:34:50.447,2021-01-01T00:00:00,2026-06-26T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=A88E47,https://www.simem.co/datadetail/a88e4711-493c-4c32-897c-bd5ebca99125,Público
293,cf0167,Costo Restricciones Asignadas al Agente,2023-09-26T08:53:41.753,2026-06-24T06:28:26.43,2013-01-01T00:00:00,2026-05-01T00:00:00,2025-04-09T11:24:12.953,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=cf0167,https://www.simem.co/datadetail/cf01679e-35d2-4c23-afeb-bfe3e0498ed7,Público
294,521384,Montos de garantías para cubrir las transacciones en el mercado de energía mayorista,2023-09-29T04:34:31.31,2026-06-27T12:12:16.54,2014-12-26T00:00:00,2026-06-19T00:00:00,2025-04-23T15:05:19.137,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=521384,https://www.simem.co/datadetail/521384a0-6402-4283-8fa4-c01dadc3fc9a,Público
295,02B289,Aportes Hídricos en Masa,2023-09-29T11:55:05.173,2026-07-01T08:29:09.003,2013-01-01T00:00:00,2026-06-30T00:00:00,2024-09-04T16:21:07.353,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=02B289,https://www.simem.co/datadetail/02b28971-0be5-45d1-8b0e-c164198e21cb,Público
296,6dc639,"Datos soporte del proceso de liquidación por Recurso, versión y diaria",2023-09-28T21:00:16.67,2026-06-11T21:23:52.493,2013-01-01T00:00:00,2025-09-08T00:00:00,2025-03-04T15:58:47.79,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=6dc639,https://www.simem.co/datadetail/6dc6394e-0fee-46eb-8caf-c248d7c75880,Público
297,086d86,Energía promedio de los contratos entre agentes del Sistema Interconectado Nacional,2023-09-28T17:44:50.007,2026-06-24T07:36:44.447,2013-01-01T00:00:00,2026-05-01T00:00:00,2025-04-08T10:04:19.44,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=086d86,https://www.simem.co/datadetail/086d8665-8ec6-4d3b-bace-c255389fba1f,Público
298,b7917a,"Datos soporte del proceso de Demandas por Código sic agente, versión y horaria",2023-09-28T23:10:00.453,2026-01-14T13:29:29.673,2013-01-01T00:00:00,2025-12-09T00:00:00,2025-03-20T09:46:41.86,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=b7917a,https://www.simem.co/datadetail/b7917a13-aac7-4360-8111-c2b081f39b10,Público
